Date : 2023-02-20 01:02:03
Directory : c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com
Total : 221 files,  27425 codes, 2993 comments, 5749 blanks, all 36167 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\amazingslider.js                                       | JavaScript      |        428 |          5 |          1 |        434 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\custom.js                                              | JavaScript      |          9 |          3 |          1 |         13 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\customSliderScript.js                                  | JavaScript      |         13 |          3 |          0 |         16 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\demo.js                                                | JavaScript      |        102 |         13 |          6 |        121 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\examples.js                                            | JavaScript      |        345 |         20 |         47 |        412 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\initslider-1.js                                        | JavaScript      |        208 |          0 |        209 |        417 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\jquery-ui.js                                           | JavaScript      |     13,563 |      2,075 |      3,068 |     18,706 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\jquery.js                                              | JavaScript      |          3 |          1 |          0 |          4 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\jquery.localScroll.js                                  | JavaScript      |         72 |         23 |         19 |        114 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\jquery.scrollTo.js                                     | JavaScript      |        145 |         40 |         26 |        211 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\TimelineLite.min.js                      | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\TimelineMax.min.js                       | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\TweenLite.min.js                         | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\TweenMax.min.js                          | JavaScript      |          4 |         13 |          0 |         17 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\easing\EasePack.min.js                   | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\jquery.gsap.min.js                       | JavaScript      |          1 |         13 |          0 |         14 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\AttrPlugin.min.js                | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\BezierPlugin.min.js              | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\CSSPlugin.min.js                 | JavaScript      |          2 |         11 |          0 |         13 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\CSSRulePlugin.min.js             | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\ColorPropsPlugin.min.js          | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\DirectionalRotationPlugin.min.js | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\EaselPlugin.min.js               | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\EndArrayPlugin.min.js            | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\KineticPlugin.min.js             | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\RaphaelPlugin.min.js             | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\RoundPropsPlugin.min.js          | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\ScrollToPlugin.min.js            | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\plugins\TextPlugin.min.js                | JavaScript      |          1 |         11 |          0 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\greensock\utils\Draggable.min.js                   | JavaScript      |          1 |         13 |          0 |         14 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\highlight.pack.js                                  | JavaScript      |          1 |          0 |          0 |          1 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\iscroll-probe.js                                   | JavaScript      |      1,586 |         43 |        409 |      2,038 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\jquery.min.js                                      | JavaScript      |          3 |          1 |          0 |          4 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\modernizr.custom.min.js                            | JavaScript      |          1 |          3 |          0 |          4 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\lib\velocity.min.js                                    | JavaScript      |          1 |          3 |          0 |          4 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\skrollr.min.js                                         | JavaScript      |          1 |          1 |          0 |          2 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\tracking.js                                            | JavaScript      |          3 |          0 |          1 |          4 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createCellule.jsp                                      | HTML            |         39 |          0 |          7 |         46 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createCommission.jsp                                   | HTML            |         39 |          0 |          3 |         42 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createCommune.jsp                                      | HTML            |         42 |          0 |          4 |         46 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createCommuneArrond.jsp                                | HTML            |         35 |          0 |          7 |         42 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createCommunication.jsp                                | HTML            |         36 |          0 |          5 |         41 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createCoordination.jsp                                 | HTML            |         41 |          0 |          6 |         47 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createDepartement.jsp                                  | HTML            |         37 |          0 |          6 |         43 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createEntite.jsp                                       | HTML            |         32 |          0 |          8 |         40 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createFederation.jsp                                   | HTML            |         43 |          0 |          3 |         46 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createGrade.jsp                                        | HTML            |         31 |          0 |          5 |         36 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createLigue.jsp                                        | HTML            |         36 |          0 |          5 |         41 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createPays.jsp                                         | HTML            |         36 |          0 |          9 |         45 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createQuartier.jsp                                     | HTML            |         39 |          0 |          4 |         43 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createRegion.jsp                                       | HTML            |         36 |          0 |          8 |         44 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createRole.jsp                                         | HTML            |         33 |          0 |          5 |         38 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createUser.jsp                                         | HTML            |         55 |          0 |          5 |         60 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createVillage.jsp                                      | HTML            |         36 |          0 |          5 |         41 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\createVille.jsp                                        | HTML            |         35 |          0 |          5 |         40 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayCellules.jsp                                    | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayCommissions.jsp                                 | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayCommuneArronds.jsp                              | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayCommunes.jsp                                    | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayCommunications.jsp                              | HTML            |         31 |          0 |          2 |         33 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayCoordinations.jsp                               | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayDepartements.jsp                                | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayEntites.jsp                                     | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayFederations.jsp                                 | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayGrades.jsp                                      | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayLigues.jsp                                      | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayPayss.jsp                                       | HTML            |         32 |          0 |          2 |         34 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayQuartiers.jsp                                   | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayRegions.jsp                                     | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayRoles.jsp                                       | HTML            |         27 |          0 |          2 |         29 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayUsers.jsp                                       | HTML            |         39 |          0 |          5 |         44 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayVillages.jsp                                    | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\displayVilles.jsp                                      | HTML            |         29 |          0 |          2 |         31 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\fragments\footer.html                                  | HTML            |         20 |          0 |          2 |         22 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\fragments\header.html                                  | HTML            |         31 |          0 |         17 |         48 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\fragments\menuBar.html                                 | HTML            |        132 |          0 |         18 |        150 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\login\login.jsp                                        | HTML            |         21 |          0 |          0 |         21 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\login\registerUser.jsp                                 | HTML            |         21 |          0 |          1 |         22 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateCellule.jsp                                      | HTML            |         25 |          0 |          0 |         25 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateCommission.jsp                                   | HTML            |         26 |          0 |          0 |         26 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateCommune.jsp                                      | HTML            |         25 |          0 |          0 |         25 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateCommuneArrond.jsp                                | HTML            |         25 |          0 |          0 |         25 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateCommunication.jsp                                | HTML            |         26 |          0 |          0 |         26 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateCoordination.jsp                                 | HTML            |         25 |          0 |          0 |         25 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateDepartement.jsp                                  | HTML            |         27 |          0 |          1 |         28 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateEntite.jsp                                       | HTML            |         23 |          0 |          0 |         23 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateFederation.jsp                                   | HTML            |         26 |          0 |          2 |         28 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateGrade.jsp                                        | HTML            |         23 |          0 |          0 |         23 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateLigue.jsp                                        | HTML            |         25 |          0 |          0 |         25 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updatePays.jsp                                         | HTML            |         22 |          0 |          0 |         22 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateQuartier.jsp                                     | HTML            |         25 |          0 |          0 |         25 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateRegion.jsp                                       | HTML            |         25 |          0 |          0 |         25 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateRole.jsp                                         | HTML            |         22 |          0 |          0 |         22 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateUser.jsp                                         | HTML            |         28 |          0 |          1 |         29 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateVillage.jsp                                      | HTML            |         26 |          0 |          0 |         26 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\WEB-INF\jsps\updateVille.jsp                                        | HTML            |         26 |          0 |          0 |         26 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\index.html                                                          | HTML            |         17 |          0 |          8 |         25 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\webapp\index1.html                                                         | HTML            |          9 |          0 |          4 |         13 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\test\java\com\magma\quantum\politicone\PoliticoneApplicationTests.java          | Java            |         12 |          0 |          5 |         17 |
| Total                                                                                                                                                   |                 |     27,425 |      2,993 |      5,749 |     36,167 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
